id,  	x, y, 		type
0,	6.8000,19.1000,	wp
1,	5.8300,16.4950,	wp
2,	7.3500,14.4800,	wp
3,	4.4400,13.9930,	wp
, 	5.347, 15.173, 	rv
4,	1.0000,13.4000,	wp
5,	2.6900,10.6200,	wp
6,	5.7000,11.4500,	wp
7,	7.0000,8.9000,	wp
,	6.290, 11.140,	rv
8,	12.0000,4.0000,	wp
,	11.383, 7.379,	rv
9,	13.6100,1.2300,	wp
10,	17.7000,1.5000,	wp
11,	16.3220,3.0000,	wp
,	16.823, 3.293,	rv
12,	16.0760,5.8450,	wp
13,	14.5070,6.2700,	wp
14,	12.2430,8.5180,	wp
 ,	16.823, 3.293,	rv
15,	10.7200,10.2000,wp
,	12.226, 6.547,	rv
16,	10.0000,12.0000,wp
17,	9.5000,15.0000,	wp
18,	10.0000,17.0000,wp
0,	6.8000,19.1000,	wp
