id, 	x, t, type
,	6.8, 19.1, wp
,	6.435, 17.659, wp
,	5.57, 15.64, wp
,	5.347, 15.173, rv, 1
,	4.893, 14.583, wp
,	4.06, 13.27, wp
,	5.995, 11.295, wp
,	7.91, 10.551, wp
,	8.09, 10.485, wp
,	9.737, 9.664, wp
,	10.256, 9.078, wp
,	11.383, 7.379, rv, 1
,	11.523, 7.24, wp
,	12.085, 6.686, wp
,	13.209, 5.576, wp
,	16.155, 3.635, wp
,	16.322, 3.549, rv, 1
,	16.489, 3.464, wp
,	16.823, 3.293, rv, 1
,	17.26, 2.403, wp
,	17.323, 3.036, wp
,	16.823, 3.293, rv, 1
,	16.656, 3.378, wp
,	14.82, 4.32, wp
,	12.647, 6.131, wp
,	12.226, 6.547,rv, 1
,	12.085, 6.686, wp
,	10.292, 8.896, wp
,	9.9, 9.58, wp
,	8.922, 10.084, wp
,	7.01, 10.878, wp
,	5.008, 12.15, wp
,	4.317, 12.85, wp
,	5.68, 15.96, wp
,	6.094, 17.187, wp
,	6.8, 19.1, wp
